_id,Row Labels,Under $50K,$50K to $100K,$100K to $150K,$150K to $200K,$200K to $250K,$250K to $300K,$300K to $350K,$350K to $400K,$400K to $450K,$450K to $500K,Over $500K,Total
197,42003459101,0,1,3,3,0,2,0,1,1,2,0,13
198,42003459102,1,0,5,9,11,20,2,4,3,1,9,65
199,42003459201,2,1,4,6,8,11,1,4,5,4,4,50
200,42003460001,0,1,6,4,11,13,3,1,5,0,0,44
201,42003460002,1,3,0,3,8,6,4,1,1,0,0,27
202,42003461000,0,2,8,5,1,0,0,0,0,0,0,16
203,42003462100,11,4,9,8,0,0,0,0,0,0,0,32
204,42003462600,23,21,8,4,0,0,0,0,0,0,0,56
205,42003463900,19,9,6,0,0,0,0,0,0,0,0,34
206,42003464300,1,7,6,10,4,0,0,0,0,0,0,28
207,42003464400,22,7,2,1,0,0,0,0,0,0,0,32
208,42003465600,3,4,4,7,2,2,1,0,0,0,0,23
209,42003465800,0,6,13,14,10,5,2,0,0,0,0,50
210,42003468700,1,2,5,2,1,1,0,1,0,0,0,13
211,42003468800,1,1,10,8,23,6,0,0,0,0,0,49
212,42003468900,3,7,9,6,10,3,1,0,0,0,0,39
213,42003469000,2,1,3,14,17,16,5,1,0,1,0,60
214,42003470300,0,3,3,13,12,10,2,1,0,0,1,45
215,42003470400,1,0,1,12,16,11,2,0,0,0,0,43
216,42003470501,0,1,3,1,5,4,1,0,0,0,0,15
217,42003470502,0,0,4,5,6,4,4,0,0,0,0,23
218,42003470600,3,8,6,7,3,0,1,0,0,0,0,28
219,42003471000,1,3,8,3,4,2,0,0,0,0,0,21
220,42003472100,1,2,5,8,8,2,2,1,0,0,0,29
221,42003472200,0,0,4,6,4,5,2,0,0,0,0,21
222,42003472300,0,2,8,3,7,2,1,0,0,0,0,23
223,42003472400,0,1,1,3,8,8,4,0,0,0,0,25
224,42003473100,0,2,0,3,5,8,10,5,10,2,3,48
225,42003473200,0,0,2,2,3,4,9,4,1,0,0,25
226,42003473300,1,0,0,3,18,16,12,9,1,0,2,62
227,42003473401,0,0,1,1,2,5,1,1,3,3,4,21
228,42003473402,0,0,0,2,5,3,5,5,2,2,2,26
229,42003473500,0,1,0,2,3,2,6,5,2,2,11,34
230,42003473601,0,1,2,0,4,7,4,3,2,2,12,37
231,42003473602,0,0,0,4,6,7,10,9,7,2,5,50
232,42003474101,0,0,0,3,3,4,4,6,2,3,13,38
233,42003474102,0,0,0,1,4,2,4,4,5,6,13,39
234,42003474201,0,1,0,0,0,4,9,0,4,5,7,30
235,42003474202,0,0,0,3,4,8,8,13,7,5,26,74
236,42003474203,0,0,1,2,7,8,12,20,9,4,15,78
237,42003475101,0,2,3,9,17,7,1,1,0,0,0,40
238,42003475102,0,0,3,3,4,3,6,1,0,0,0,20
239,42003475200,1,0,3,11,17,11,5,2,1,0,1,52
240,42003475301,1,3,9,12,11,7,1,0,0,0,0,44
241,42003475303,0,1,3,13,8,10,10,7,0,0,1,53
